87,69,69,69
326,196,196,196
574,188,188,188
130,128,128,128
664,56,56,56
89,89,89,89
573,123,123,123
108,78,78,78
467,63,63,63
708,68,68,68
543,157,157,157
652,102,102,102
267,27,27,27
813,177,177,177
607,13,13,13
479,101,101,101
616,84,84,84
500,102,102,102
357,117,117,117
719,117,117,117
45,7,7,7
506,120,120,120
524,96,96,96
527,53,53,53
385,105,105,105
75,37,37,37
223,49,49,49
432,152,152,152
17,17,17,17
532,182,182,182
778,88,88,88
465,53,53,53
353,49,49,49
528,108,108,108
919,217,217,217
390,174,174,174
247,183,183,183
448,108,108,108
268,134,134,134
488,36,36,36
21,21,21,21
450,24,24,24
380,74,74,74
148,98,98,98
172,94,94,94
325,93,93,93
797,127,127,127
76,28,28,28
686,120,120,120
871,81,81,81
96,96,96,96
728,14,14,14
465,105,105,105
364,134,134,134
312,74,74,74
409,101,101,101
13,13,13,13
712,190,190,190
277,75,75,75
262,62,62,62
94,64,64,64
338,86,86,86
397,197,197,197
319,97,97,97
314,64,64,64
211,103,103,103
647,197,197,197
368,58,58,58
672,62,62,62
679,119,119,119
516,236,236,236
482,112,112,112
579,261,261,261
236,90,90,90
185,117,117,117
190,122,122,122
513,105,105,105
323,97,97,97
269,95,95,95
832,94,94,94
324,28,28,28
408,250,250,250
242,122,122,122
37,33,33,33
694,108,108,108
562,88,88,88
230,146,146,146
586,94,94,94
92,86,86,86
389,143,143,143
411,99,99,99
787,75,75,75
673,49,49,49
127,109,109,109
591,143,143,143
769,111,111,111
209,117,117,117
436,120,120,120
333,173,173,173
572,110,110,110
915,123,123,123
740,78,78,78
492,146,146,146
84,74,74,74
770,146,146,146
814,50,50,50
389,133,133,133
582,180,180,180
236,78,78,78
636,70,70,70
590,222,222,222
827,131,131,131
178,100,100,100
268,98,98,98
449,93,93,93
232,100,100,100
523,73,73,73
194,144,144,144
698,104,104,104
241,87,87,87
611,197,197,197
415,135,135,135
335,77,77,77
723,107,107,107
200,168,168,168
270,138,138,138
312,178,178,178
1011,85,85,85
108,108,108,108
855,87,87,87
153,125,125,125
635,105,105,105
631,97,97,97
358,70,70,70
247,77,77,77
810,76,76,76
868,152,152,152
484,78,78,78
663,129,129,129
370,122,122,122
325,89,89,89
293,133,133,133
302,182,182,182
575,189,189,189
679,127,127,127
140,118,118,118
574,84,84,84
99,73,73,73
747,149,149,149
698,208,208,208
296,110,110,110
556,106,106,106
631,71,71,71
423,39,39,39
777,59,59,59
216,208,208,208
520,178,178,178
314,72,72,72
367,77,77,77
306,36,36,36
393,153,153,153
500,96,96,96
665,131,131,131
170,144,144,144
10,10,10,10
384,70,70,70
686,138,138,138
103,27,27,27
561,123,123,123
143,81,81,81
156,136,136,136
407,91,91,91
612,150,150,150
410,110,110,110
386,130,130,130
537,29,29,29
61,47,47,47
186,98,98,98
561,109,109,109
328,138,138,138
568,38,38,38
429,97,97,97
748,88,88,88
559,117,117,117
250,184,184,184
594,68,68,68
120,64,64,64
610,140,140,140
608,130,130,130
407,101,101,101
1036,80,80,80
549,73,73,73
764,98,98,98
